Train_sizes,Score,Set
47,,Training
47,,Validation
47,,Training
47,,Validation
47,,Training
47,,Validation
47,,Training
47,,Validation
47,,Training
47,,Validation
62,,Training
62,,Validation
62,,Training
62,,Validation
62,,Training
62,,Validation
62,,Training
62,,Validation
62,,Training
62,,Validation
77,,Training
77,,Validation
77,,Training
77,,Validation
77,,Training
77,,Validation
77,,Training
77,,Validation
77,,Training
77,,Validation
91,,Training
91,,Validation
91,,Training
91,,Validation
91,,Training
91,,Validation
91,,Training
91,,Validation
91,,Training
91,,Validation
106,,Training
106,,Validation
106,,Training
106,,Validation
106,,Training
106,,Validation
106,,Training
106,,Validation
106,,Training
106,,Validation
121,,Training
121,,Validation
121,,Training
121,,Validation
121,,Training
121,,Validation
121,,Training
121,,Validation
121,,Training
121,,Validation
136,,Training
136,,Validation
136,,Training
136,,Validation
136,,Training
136,,Validation
136,,Training
136,,Validation
136,,Training
136,,Validation
151,,Training
151,,Validation
151,,Training
151,,Validation
151,,Training
151,,Validation
151,,Training
151,,Validation
151,,Training
151,,Validation
165,,Training
165,,Validation
165,,Training
165,,Validation
165,,Training
165,,Validation
165,,Training
165,,Validation
165,,Training
165,,Validation
180,,Training
180,,Validation
180,,Training
180,,Validation
180,,Training
180,,Validation
180,,Training
180,,Validation
180,,Training
180,,Validation
195,,Training
195,,Validation
195,,Training
195,,Validation
195,,Training
195,,Validation
195,,Training
195,,Validation
195,,Training
195,,Validation
210,,Training
210,,Validation
210,,Training
210,,Validation
210,,Training
210,,Validation
210,,Training
210,,Validation
210,,Training
210,,Validation
224,,Training
224,,Validation
224,,Training
224,,Validation
224,,Training
224,,Validation
224,,Training
224,,Validation
224,,Training
224,,Validation
239,,Training
239,,Validation
239,,Training
239,,Validation
239,,Training
239,,Validation
239,,Training
239,,Validation
239,,Training
239,,Validation
254,0.9645669291338582,Training
254,0.5166666666666667,Validation
254,0.9645669291338582,Training
254,0.5210084033613446,Validation
254,0.968503937007874,Training
254,0.5126050420168067,Validation
254,0.968503937007874,Training
254,0.5126050420168067,Validation
254,0.968503937007874,Training
254,0.5126050420168067,Validation
269,0.9107806691449815,Training
269,0.5166666666666667,Validation
269,0.9107806691449815,Training
269,0.5210084033613446,Validation
269,0.9144981412639405,Training
269,0.5126050420168067,Validation
269,0.9144981412639405,Training
269,0.5126050420168067,Validation
269,0.9144981412639405,Training
269,0.5126050420168067,Validation
283,0.872791519434629,Training
283,0.5583333333333333,Validation
283,0.8798586572438163,Training
283,0.5210084033613446,Validation
283,0.8798586572438163,Training
283,0.5294117647058824,Validation
283,0.8692579505300353,Training
283,0.5126050420168067,Validation
283,0.8692579505300353,Training
283,0.5126050420168067,Validation
298,0.8758389261744967,Training
298,0.625,Validation
298,0.8489932885906041,Training
298,0.6134453781512605,Validation
298,0.8557046979865772,Training
298,0.5798319327731093,Validation
298,0.8456375838926175,Training
298,0.5378151260504201,Validation
298,0.8456375838926175,Training
298,0.5210084033613446,Validation
313,0.8785942492012779,Training
313,0.6583333333333333,Validation
313,0.8370607028753994,Training
313,0.7310924369747899,Validation
313,0.8402555910543131,Training
313,0.6470588235294118,Validation
313,0.8306709265175719,Training
313,0.5798319327731093,Validation
313,0.8338658146964856,Training
313,0.5630252100840336,Validation
328,0.8719512195121951,Training
328,0.7083333333333334,Validation
328,0.8475609756097561,Training
328,0.7310924369747899,Validation
328,0.8384146341463414,Training
328,0.7226890756302521,Validation
328,0.8353658536585366,Training
328,0.6218487394957983,Validation
328,0.8170731707317073,Training
328,0.6302521008403361,Validation
343,0.8367346938775511,Training
343,0.725,Validation
343,0.8454810495626822,Training
343,0.6974789915966386,Validation
343,0.8396501457725948,Training
343,0.773109243697479,Validation
343,0.8425655976676385,Training
343,0.6218487394957983,Validation
343,0.8338192419825073,Training
343,0.6554621848739496,Validation
357,0.834733893557423,Training
357,0.7333333333333333,Validation
357,0.8375350140056023,Training
357,0.7058823529411765,Validation
357,0.8375350140056023,Training
357,0.7815126050420168,Validation
357,0.8291316526610645,Training
357,0.6134453781512605,Validation
357,0.8291316526610645,Training
357,0.6722689075630253,Validation
372,0.8252688172043011,Training
