Run,Iteration,Wavelengths,Cofficients
8,1,450.903,0.015419990775486477
8,1,451.403,0.011539665003742686
8,1,451.902,0.012169683024545323
8,1,452.401,0.012113710710173722
8,1,452.9,0.017397169138092958
8,1,456.888,-0.009202346304644326
8,1,457.386,0.010157556055740426
8,1,459.377,0.012249830034486719
8,1,460.372,-0.0011739770054455965
8,1,462.36,0.019126935275747676
8,1,469.305,0.0007016853645049517
8,1,469.8,-0.005608902338495278
8,1,470.79,0.003329948088495941
8,1,472.769,-0.008392595128654512
8,1,473.758,-0.013899203359591824
8,1,475.734,-0.012626151001713637
8,1,477.215,-0.014643048155392845
8,1,480.667,-0.006383203194308173
8,1,483.129,-0.010604793635650625
8,1,483.621,-0.017767393049603564
8,1,487.063,-0.030147690780301526
8,1,488.536,-0.0013031769700602917
8,1,489.027,-0.03064157078099739
8,1,489.518,-0.010064126037168563
8,1,490.008,-0.022805009286575372
8,1,490.989,-0.027714753618984792
8,1,491.97,-0.03922007337756018
8,1,493.93,-0.007915124024006837
8,1,494.419,-0.038690842549192785
8,1,495.398,-0.015382315767440388
8,1,495.888,-0.013407380744190555
8,1,497.844,-0.039707631558145134
8,1,498.821,-0.08624163652891031
8,1,499.31,-0.10713786417744936
8,1,499.798,-0.026602896899167502
8,1,500.287,-0.084777756448707
8,1,500.775,0.030906401233226174
8,1,501.263,-0.05209211893292782
8,1,501.751,-0.058714971083491045
8,1,502.239,-0.05269850599495356
8,1,502.727,-0.09664358253278167
8,1,503.215,-0.07142829767581595
8,1,504.19,-0.18648270437949124
8,1,505.164,0.057177270469206065
8,1,505.651,-0.04301835068976104
8,1,506.139,-0.08986479769040308
8,1,507.112,-0.041277629398030764
8,1,508.086,-0.05723119020567588
8,1,509.545,-0.06609676008481175
8,1,511.003,-0.038681260743342064
8,1,511.489,-0.01541565813011458
8,1,511.974,0.0015794860539927787
8,1,512.46,-0.034386706605039064
8,1,512.946,-0.02420262065964483
8,1,513.431,0.005582157251622226
8,1,514.887,-0.013950470079542488
8,1,515.371,-0.011753033963364846
8,1,515.856,-0.007610128767410056
8,1,516.341,-0.015222886943933289
8,1,516.826,-0.012459699805254854
8,1,522.149,-0.012396422276301958
8,1,523.116,-0.006763059621791769
8,1,524.082,-0.011217242868370609
8,1,524.565,-0.010042494319116066
8,1,525.53,-0.011488838782462414
8,1,526.978,-0.013396439831753235
8,1,527.46,-0.008739752256300852
8,1,527.942,-0.01667302272689707
8,1,528.424,-0.007408956876695008
8,1,528.906,-0.014499550672850954
8,1,529.388,-0.012101685552900827
8,1,529.87,-0.003348825668666435
8,1,531.314,-0.01135092843275813
8,1,531.795,-0.01600359295728167
8,1,533.238,-0.014540157576071366
8,1,533.719,-0.010165044031010378
8,1,534.2,-0.017526423636181683
8,1,535.161,-0.012270212243142049
8,1,536.602,-0.01036775425781319
8,1,537.562,-0.006714322418402263
8,1,539.96,-0.011071468681370761
8,1,541.877,-0.009053426109812784
8,1,542.356,-0.012796536255687675
8,1,543.313,-0.007977201953498176
8,1,545.705,-0.005593526503683327
8,1,546.661,-0.008343510355417517
8,1,547.139,-0.00855142160856701
8,1,547.616,-0.011760421723867667
8,1,548.094,-0.008986238340492858
8,1,549.526,-0.013318321795999026
8,1,550.003,-0.007193533581819026
8,1,550.48,-0.010877259793960982
8,1,550.957,-0.007711229434798412
8,1,551.911,-0.008493930056692002
8,1,555.245,-0.010400079199460264
8,1,557.623,-0.0043240494951536455
8,1,559.524,-0.004085732369317007
8,1,561.423,-0.005006244542268912
8,1,561.897,-0.007366436133873297
8,1,563.32,-0.008555113935241531
8,1,563.794,-0.005902930557795275
8,1,565.69,-0.008925286132818509
8,1,566.636,-0.007499249369965955
8,1,569.002,-0.005092182765448091
8,1,569.475,-0.004721821496815837
8,1,570.892,-0.004892913863612978
8,1,571.365,-0.005774825802490351
8,1,571.837,-0.004357313707349369
8,1,572.309,-0.00724463254488697
8,1,574.668,-0.0022839059970606707
8,1,576.554,-0.007771414305617085
8,1,577.025,-0.004097221005873585
8,1,578.908,-0.0022677987628570728
8,1,579.379,0.0007038221997600365
8,1,580.319,-0.004802771617765709
8,1,582.2,-0.008157968312700804
8,1,583.609,-0.007863930079224804
8,1,585.955,0.002753790759979196
8,1,590.172,-0.002005063964549047
8,1,592.511,-0.004956657227444328
8,1,594.38,-0.007319487119389102
8,1,594.847,-0.0031133447486769066
8,1,596.715,-0.008246949093841258
8,1,599.046,-0.006298502732710831
8,1,608.81,0.0017330404435327846
8,1,612.981,0.009923401556836636
8,1,614.832,0.008610315548692965
8,1,618.067,0.00811037124910672
8,1,618.529,0.009316775927983953
8,1,619.913,0.007271531351375363
8,1,620.375,0.011960229426475975
8,1,620.836,0.016712027259095777
8,1,621.297,0.020385936644809012
8,1,621.758,0.014188867207356367
8,1,622.219,0.012789100805414472
8,1,622.68,0.011768329665752001
8,1,623.14,0.011567372544593193
8,1,623.601,0.013981341010605077
8,1,624.522,0.014995730881429694
8,1,624.982,0.021530850947053724
8,1,625.442,0.022197385496231327
8,1,625.902,0.023667057300637073
8,1,627.282,0.023773193412458107
8,1,627.742,0.023455438278150616
8,1,628.201,0.020296682162324428
8,1,629.12,0.02677525824462482
8,1,629.579,0.013064088921371016
8,1,630.497,0.025483943311278966
8,1,630.956,0.016352765297873325
8,1,631.415,0.008195318857308589
8,1,631.874,0.014387677065293493
8,1,632.332,0.014786578163038532
8,1,633.708,0.0261361422828766
8,1,634.166,0.012178675038030036
8,1,635.54,0.02371562088137559
8,1,636.913,0.013542044883885655
8,1,637.37,0.010156698678506116
8,1,637.828,0.0032699670587712703
8,1,638.285,0.0045408301896512435
8,1,638.742,0.0015974288094399887
8,1,639.199,0.012277615918044393
8,1,639.656,0.0038201156438054753
8,1,640.113,0.009969509543433187
8,1,641.483,0.008576539148175515
8,1,641.94,-0.002060304282212973
8,1,642.396,0.012381070246336775
8,1,646.499,-0.0232543529117352
8,1,650.593,-0.025415850461442128
8,1,651.956,-0.015796084592369437
8,1,652.41,-0.01488943115074427
8,1,652.864,-0.02202468775816041
8,1,653.318,0.00207662155310434
8,1,656.039,-0.007836015446398528
8,1,656.492,-0.01283905536864899
8,1,657.399,0.01145141079228338
8,1,657.851,0.011552007074011977
8,1,658.304,-0.0020814688552907652
8,1,658.757,0.01825562240695374
8,1,659.209,0.00062660530368574
8,1,659.662,0.007799409840709684
8,1,660.567,0.021827264242846346
8,1,661.471,0.009891064570563612
8,1,661.923,0.007423382489888165
8,1,662.375,0.01442822027967921
8,1,662.826,0.01037441178494906
8,1,663.278,0.007553847338598519
8,1,663.73,0.005816320779114662
8,1,664.181,0.008225944730949689
8,1,665.084,0.019437904451119866
8,1,665.535,0.013361289592625027
8,1,665.986,0.005801505545062477
8,1,666.437,0.006803643844506201
8,1,666.888,0.002181332881657857
8,1,667.789,0.012333329090734372
8,1,668.24,0.006747988964912373
8,1,669.591,0.005467133931928397
8,1,670.041,0.009669266802400515
8,1,670.491,0.006611658378604545
8,1,671.391,0.008482978222953234
8,1,672.74,0.006073880025557257
8,1,673.638,0.004477463983151842
8,1,674.088,0.004883646957172313
8,1,675.435,0.004768348227683497
8,1,676.781,0.007091812754046794
8,1,679.022,0.008833245804192763
8,1,679.47,0.007872750826328666
8,1,680.814,0.005687523784037946
8,1,681.709,0.010606494574886804
8,1,682.156,0.009575940445561119
8,1,682.604,0.014916627541152151
8,1,683.051,0.011511799829738987
8,1,683.498,0.015235896635900987
8,1,683.945,0.008763973297462495
8,1,684.392,0.014541914452011896
8,1,684.839,0.027597499683946227
8,1,685.286,0.028492184515767825
8,1,685.732,0.013168215184336056
8,1,686.179,0.037639853408238944
8,1,686.625,0.0317714767622963
8,1,687.071,0.030880037346122973
8,1,687.518,0.0499248512951296
8,1,687.964,0.04736979045937313
8,1,688.41,0.04977530296934941
8,1,688.856,0.05042805803626337
8,1,689.301,0.05590174464096035
8,1,689.747,0.038434768998558605
8,1,690.193,0.0431073872937143
8,1,690.638,0.02720633766592846
8,1,691.084,0.02644827900959661
8,1,691.529,0.02948703665041767
8,1,691.974,0.033895635607800643
8,1,692.419,0.029102403413622722
8,1,692.864,0.03256599886102981
8,1,693.309,0.020315212068171353
8,1,693.754,0.020550605044147012
8,1,694.199,0.021778873673715175
8,1,694.643,0.014818730310106802
8,1,695.088,0.016073965378710336
8,1,695.532,0.014199255059053123
8,1,695.977,0.013808737132690539
8,1,696.421,0.011752273085511425
8,1,696.865,0.010109283597870179
8,1,697.309,0.00941777124002401
8,1,698.64,0.0093499702608075
8,1,699.971,0.007110377157774729
8,1,701.743,0.00776181564344783
8,1,705.726,0.0046256542242235936
