Run,Iteration,Ratio,Selected Variables,Selected Wavelengths,Accuracy,N components,RMSECV
177,1,1.0,578,578 wavelengths,0.7449664429530202,2.0,True
177,2,0.937972055474286,404,404 wavelengths,0.7516778523489933,2.0,True
177,3,0.879791576850657,318,318 wavelengths,0.7583892617449665,2.0,True
177,4,0.825219913727574,275,275 wavelengths,0.7583892617449665,2.0,True
177,5,0.7740332186973654,250,250 wavelengths,0.7785234899328859,2.0,True
177,6,0.7260215291469454,231,231 wavelengths,0.7919463087248322,2.0,True
177,7,0.6809879060125446,211,211 wavelengths,0.785234899328859,2.0,True
177,8,0.6387476259557163,196,196 wavelengths,0.7919463087248322,2.0,True
177,9,0.5991274236470037,173,173 wavelengths,0.7919463087248322,2.0,True
177,10,0.5619647810491933,165,165 wavelengths,0.825503355704698,2.0,True
177,11,0.5271072607848689,155,155 wavelengths,0.825503355704698,2.0,True
177,12,0.49441188085380394,147,147 wavelengths,0.825503355704698,2.0,True
177,13,0.4637445281353502,138,138 wavelengths,0.7986577181208053,2.0,True
177,14,0.4349794082700673,127,127 wavelengths,0.8053691275167785,2.0,True
177,15,0.4079985296640637,120,120 wavelengths,0.7986577181208053,2.0,True
177,16,0.38269121949948826,113,113 wavelengths,0.7919463087248322,2.0,True
177,17,0.35895366976589616,107,107 wavelengths,0.8187919463087249,2.0,True
177,18,0.33668851145035567,96,96 wavelengths,0.8187919463087249,2.0,True
177,19,0.3158044151396677,90,90 wavelengths,0.8389261744966443,2.0,True
177,20,0.2962157163964089,83,83 wavelengths,0.825503355704698,2.0,True
177,21,0.2778420643721278,80,80 wavelengths,0.8187919463087249,2.0,True
177,22,0.2606080922163436,78,78 wavelengths,0.8187919463087249,2.0,True
177,23,0.24444310792939605,78,78 wavelengths,0.8187919463087249,2.0,True
177,24,0.22928080439105833,76,76 wavelengths,0.8187919463087249,2.0,True
177,25,0.2150589873754787,72,72 wavelengths,0.8187919463087249,2.0,True
177,26,0.20171932043679625,68,68 wavelengths,0.825503355704698,2.0,True
177,27,0.18920708561897795,66,66 wavelengths,0.825503355704698,2.0,True
177,28,0.17747095900833193,64,64 wavelengths,0.825503355704698,2.0,True
177,29,0.1664628002080379,61,61 wavelengths,0.8187919463087249,2.0,True
177,30,0.15613745487113867,57,57 wavelengths,0.825503355704698,2.0,True
177,31,0.14645256948200552,52,52 wavelengths,0.8187919463087249,2.0,True
177,32,0.13736841762652738,51,51 wavelengths,0.825503355704698,2.0,True
177,33,0.12884773703840405,49,49 wavelengths,0.8187919463087249,2.0,True
177,34,0.12085557675312208,44,44 wavelengths,0.825503355704698,2.0,True
177,35,0.11335915374265627,41,41 wavelengths,0.825503355704698,2.0,True
177,36,0.10632771844282492,38,38 wavelengths,0.8187919463087249,2.0,True
177,37,0.09973242862170764,35,35 wavelengths,0.8187919463087249,2.0,True
177,38,0.09354623107174559,32,32 wavelengths,0.825503355704698,2.0,True
177,39,0.08774375064023773,30,30 wavelengths,0.8322147651006712,2.0,True
177,40,0.082301186143047,30,30 wavelengths,0.8322147651006712,2.0,True
177,41,0.07719621273456559,27,27 wavelengths,0.8322147651006712,2.0,True
177,42,0.07240789033347075,26,26 wavelengths,0.8322147651006712,2.0,True
177,43,0.06791657772864225,25,25 wavelengths,0.8322147651006712,2.0,True
177,44,0.06370385201291369,23,23 wavelengths,0.8322147651006712,2.0,True
177,45,0.059752433014182364,20,20 wavelengths,0.825503355704698,2.0,True
177,46,0.05604611241390222,20,20 wavelengths,0.825503355704698,2.0,True
177,47,0.05256968726221077,18,18 wavelengths,0.8187919463087249,2.0,True
177,48,0.04930889761697621,17,17 wavelengths,0.8053691275167785,2.0,True
177,49,0.0462503680509663,16,16 wavelengths,0.8322147651006712,2.0,True
177,50,0.043381552787207116,16,16 wavelengths,0.8322147651006712,2.0,True
177,51,0.0406906842374829,15,15 wavelengths,0.825503355704698,2.0,True
177,52,0.03816672473288696,13,13 wavelengths,0.8120805369127517,2.0,True
177,53,0.03579932124842725,12,12 wavelengths,0.8187919463087249,2.0,True
177,54,0.03357876293597159,11,11 wavelengths,0.8120805369127517,2.0,True
177,55,0.031495941291337044,11,11 wavelengths,0.8120805369127517,2.0,True
177,56,0.029542312792132836,10,499.31 - 504.19 - 506.139 - 508.086 - 688.856 - 733.38 - 745.113 - 758.927 - 941.537 - 945.428,0.8053691275167785,2.0,True
177,57,0.027709863853101133,10,499.31 - 504.19 - 506.139 - 508.086 - 688.856 - 733.38 - 745.113 - 758.927 - 941.537 - 945.428,0.8053691275167785,2.0,True
177,58,0.025991077955205888,10,499.31 - 504.19 - 506.139 - 508.086 - 688.856 - 733.38 - 745.113 - 758.927 - 941.537 - 945.428,0.8053691275167785,2.0,True
177,59,0.024378904813636863,8,499.31 - 504.19 - 506.139 - 508.086 - 688.856 - 733.38 - 745.113 - 941.537,0.7583892617449665,2.0,True
177,60,0.022866731458258936,8,499.31 - 504.19 - 506.139 - 508.086 - 688.856 - 733.38 - 745.113 - 941.537,0.7583892617449665,2.0,True
177,61,0.02144835510788165,7,504.19 - 506.139 - 508.086 - 688.856 - 733.38 - 745.113 - 941.537,0.7516778523489933,2.0,True
177,62,0.020117957727082157,7,504.19 - 506.139 - 508.086 - 688.856 - 733.38 - 745.113 - 941.537,0.7516778523489933,2.0,True
177,63,0.018870082161216047,7,504.19 - 506.139 - 508.086 - 688.856 - 733.38 - 745.113 - 941.537,0.7516778523489933,2.0,True
177,64,0.017699609751724465,7,504.19 - 506.139 - 508.086 - 688.856 - 733.38 - 745.113 - 941.537,0.7516778523489933,2.0,True
177,65,0.01660173933991771,6,504.19 - 506.139 - 508.086 - 688.856 - 733.38 - 745.113,0.6912751677852349,2.0,True
177,66,0.015571967573110938,6,504.19 - 506.139 - 508.086 - 688.856 - 733.38 - 745.113,0.6912751677852349,2.0,True
177,67,0.01460607043232979,5,504.19 - 506.139 - 688.856 - 733.38 - 745.113,0.7449664429530202,2.0,True
177,68,0.013700085905814561,5,504.19 - 506.139 - 688.856 - 733.38 - 745.113,0.7449664429530202,2.0,True
177,69,0.012850297737251187,5,504.19 - 506.139 - 688.856 - 733.38 - 745.113,0.7449664429530202,2.0,True
177,70,0.012053220182066058,4,504.19 - 506.139 - 688.856 - 733.38,0.738255033557047,2.0,True
177,71,0.011305583709256654,4,504.19 - 506.139 - 688.856 - 733.38,0.738255033557047,2.0,True
177,72,0.010604321590108063,3,504.19 - 506.139 - 733.38,0.6644295302013423,2.0,True
177,73,0.009946557318784004,3,504.19 - 506.139 - 733.38,0.6644295302013423,2.0,True
177,74,0.009329592813192641,3,504.19 - 506.139 - 733.38,0.6644295302013423,2.0,True
177,75,0.008750897347728423,3,504.19 - 506.139 - 733.38,0.6644295302013423,2.0,True
177,76,0.008208097172493305,3,504.19 - 506.139 - 733.38,0.6644295302013423,2.0,True
177,77,0.007698965776416224,3,504.19 - 506.139 - 733.38,0.6644295302013423,2.0,True
177,78,0.007221414754331306,3,504.19 - 506.139 - 733.38,0.6644295302013423,2.0,True
177,79,0.006773485240552469,3,504.19 - 506.139 - 733.38,0.6644295302013423,2.0,True
177,80,0.006353339873805741,3,504.19 - 506.139 - 733.38,0.6644295302013423,2.0,True
177,81,0.0059592552605603095,3,504.19 - 506.139 - 733.38,0.6644295302013423,2.0,True
177,82,0.0055896149058437036,2,504.19 - 733.38,0.6778523489932886,2.0,True
177,83,0.005242902582543929,2,504.19 - 733.38,0.6778523489932886,2.0,True
177,84,0.00491769611200017,2,504.19 - 733.38,0.6778523489932886,2.0,True
177,85,0.004612661530370705,2,504.19 - 733.38,0.6778523489932886,2.0,True
177,86,0.004326547616848976,2,504.19 - 733.38,0.6778523489932886,2.0,True
177,87,0.0040581807612832055,2,504.19 - 733.38,0.6778523489932886,2.0,True
177,88,0.0038064601501470127,2,504.19 - 733.38,0.6778523489932886,2.0,True
177,89,0.003570353251114352,2,504.19 - 733.38,0.6778523489932886,2.0,True
177,90,0.003348891577717027,2,504.19 - 733.38,0.6778523489932886,2.0,True
177,91,0.003141166716711766,2,504.19 - 733.38,0.6778523489932886,2.0,True
177,92,0.0029463266018615484,2,504.19 - 733.38,0.6778523489932886,2.0,True
177,93,0.0027635720188466436,1,504.19,0.610738255033557,2.0,True
177,94,0.0025921533269688104,1,504.19,0.610738255033557,2.0,True
177,95,0.002431367384201443,1,504.19,0.610738255033557,2.0,True
177,96,0.0022805546629725646,1,504.19,0.610738255033557,2.0,True
177,97,0.0021390965448498454,1,504.19,0.610738255033557,2.0,True
177,98,0.0020064127830307517,1,504.19,0.610738255033557,2.0,True
177,99,0.001881959122229238,1,504.19,0.610738255033557,2.0,True
177,100,0.001765225066195941,1,504.19,0.610738255033557,2.0,True
