Run,Iteration,Ratio,Selected Variables,Selected Wavelengths,Accuracy,N components,RMSECV
217,1,1.0,563,563 wavelengths,0.7702702702702703,2.0,True
217,2,0.937972055474286,403,403 wavelengths,0.7972972972972973,2.0,True
217,3,0.879791576850657,334,334 wavelengths,0.8108108108108109,2.0,True
217,4,0.825219913727574,285,285 wavelengths,0.8243243243243243,2.0,True
217,5,0.7740332186973654,259,259 wavelengths,0.8378378378378378,2.0,True
217,6,0.7260215291469454,237,237 wavelengths,0.8378378378378378,2.0,True
217,7,0.6809879060125446,205,205 wavelengths,0.8378378378378378,2.0,True
217,8,0.6387476259557163,184,184 wavelengths,0.8378378378378378,2.0,True
217,9,0.5991274236470037,171,171 wavelengths,0.8378378378378378,2.0,True
217,10,0.5619647810491933,159,159 wavelengths,0.8378378378378378,2.0,True
217,11,0.5271072607848689,150,150 wavelengths,0.8378378378378378,2.0,True
217,12,0.49441188085380394,139,139 wavelengths,0.8243243243243243,2.0,True
217,13,0.4637445281353502,125,125 wavelengths,0.8243243243243243,2.0,True
217,14,0.4349794082700673,118,118 wavelengths,0.8243243243243243,2.0,True
217,15,0.4079985296640637,110,110 wavelengths,0.8243243243243243,2.0,True
217,16,0.38269121949948826,106,106 wavelengths,0.8243243243243243,2.0,True
217,17,0.35895366976589616,96,96 wavelengths,0.8108108108108109,2.0,True
217,18,0.33668851145035567,89,89 wavelengths,0.8108108108108109,2.0,True
217,19,0.3158044151396677,85,85 wavelengths,0.8108108108108109,2.0,True
217,20,0.2962157163964089,80,80 wavelengths,0.8243243243243243,2.0,True
217,21,0.2778420643721278,75,75 wavelengths,0.8378378378378378,2.0,True
217,22,0.2606080922163436,72,72 wavelengths,0.8243243243243243,2.0,True
217,23,0.24444310792939605,70,70 wavelengths,0.8243243243243243,2.0,True
217,24,0.22928080439105833,64,64 wavelengths,0.8243243243243243,2.0,True
217,25,0.2150589873754787,61,61 wavelengths,0.8243243243243243,2.0,True
217,26,0.20171932043679625,58,58 wavelengths,0.8108108108108109,2.0,True
217,27,0.18920708561897795,56,56 wavelengths,0.8108108108108109,2.0,True
217,28,0.17747095900833193,55,55 wavelengths,0.8108108108108109,2.0,True
217,29,0.1664628002080379,54,54 wavelengths,0.8108108108108109,2.0,True
217,30,0.15613745487113867,49,49 wavelengths,0.8243243243243243,2.0,True
217,31,0.14645256948200552,44,44 wavelengths,0.8108108108108109,2.0,True
217,32,0.13736841762652738,39,39 wavelengths,0.7972972972972973,2.0,True
217,33,0.12884773703840405,39,39 wavelengths,0.7972972972972973,2.0,True
217,34,0.12085557675312208,35,35 wavelengths,0.7972972972972973,2.0,True
217,35,0.11335915374265627,34,34 wavelengths,0.7837837837837838,2.0,True
217,36,0.10632771844282492,33,33 wavelengths,0.7972972972972973,2.0,True
217,37,0.09973242862170764,31,31 wavelengths,0.7972972972972973,2.0,True
217,38,0.09354623107174559,29,29 wavelengths,0.7837837837837838,2.0,True
217,39,0.08774375064023773,25,25 wavelengths,0.8108108108108109,2.0,True
217,40,0.082301186143047,25,25 wavelengths,0.8108108108108109,2.0,True
217,41,0.07719621273456559,23,23 wavelengths,0.8108108108108109,2.0,True
217,42,0.07240789033347075,23,23 wavelengths,0.8108108108108109,2.0,True
217,43,0.06791657772864225,22,22 wavelengths,0.8108108108108109,2.0,True
217,44,0.06370385201291369,19,19 wavelengths,0.8108108108108109,2.0,True
217,45,0.059752433014182364,18,18 wavelengths,0.8108108108108109,2.0,True
