Run,Iteration,Wavelengths,Cofficients
117,1,451.902,0.008531547570078016
117,1,453.898,-0.0028534332028701715
117,1,456.39,0.010868515395427844
117,1,456.888,-0.008445268393936221
117,1,460.372,-0.001668515023140807
117,1,461.366,0.0037160986716373756
117,1,461.863,-0.004399343274612019
117,1,462.36,0.014226263692212188
117,1,462.857,0.012561067254209352
117,1,465.339,-0.00932984447822751
117,1,466.331,0.012888847913447169
117,1,472.274,-0.0009972689593832683
117,1,472.769,-0.007700605408819742
117,1,473.263,-0.006569489312212937
117,1,473.758,-0.014967280357607598
117,1,475.24,-0.006456631710773696
117,1,477.215,-0.014168879176077575
117,1,477.708,-0.006336000745488474
117,1,478.202,-0.010898331503461495
117,1,478.695,-0.000661889641975272
117,1,479.681,-0.00047060090426914676
117,1,480.174,-0.007163765025672189
117,1,480.667,-0.005904753640923841
117,1,482.144,-0.00439732884795392
117,1,483.621,-0.01807262365360083
117,1,485.588,-0.014256989179656478
117,1,486.08,-0.0011443353590022407
117,1,486.571,-0.0009744300515285505
117,1,487.554,-0.00258389227175797
117,1,489.027,-0.02617279444779739
117,1,489.518,-0.009167135364523104
117,1,490.008,-0.019557450818636666
117,1,490.499,-0.021180709306218123
117,1,490.989,-0.024011217705783357
117,1,491.48,-0.018351021241706136
117,1,491.97,-0.03597791454093166
117,1,492.95,-0.015267219573528685
117,1,493.44,-0.00459389305595373
117,1,493.93,-0.005901392222268667
117,1,494.419,-0.03661282846758266
117,1,498.821,-0.06094806381370465
117,1,499.31,-0.09624292305492718
117,1,499.798,-0.024985956225025464
117,1,500.287,-0.07460541897995585
117,1,501.263,-0.057981551838520676
117,1,501.751,-0.07452826852124629
117,1,502.239,-0.035413457700532884
117,1,502.727,-0.08837638596400123
117,1,503.215,-0.06984992259893501
117,1,503.702,-0.020946098918339436
117,1,504.19,-0.15766011737927443
117,1,504.677,-0.00896539952608083
117,1,505.164,0.05770658916186706
117,1,506.139,-0.0713605084773862
117,1,507.112,-0.035426080125459926
117,1,508.086,-0.040136403006153544
117,1,508.572,0.01652754758961705
117,1,509.545,-0.057449717028211965
117,1,511.003,-0.02947722237587933
117,1,511.974,0.006130351729484036
117,1,512.46,-0.027803896541173045
117,1,513.916,-0.005685842420980042
117,1,514.401,-0.010908918295364537
117,1,514.887,-0.011060183171904114
117,1,516.341,-0.011910565391378232
117,1,516.826,-0.007940347926309526
117,1,517.31,-0.014396136582322777
117,1,519.731,-0.0020927337675183057
117,1,522.633,-0.007827033591386796
117,1,524.082,-0.008338041279529182
117,1,524.565,-0.006876643177391309
117,1,525.048,-0.007400570504128738
117,1,526.013,-0.0072905128188317575
117,1,526.495,-0.00770440824438668
117,1,526.978,-0.010662875600656612
117,1,527.46,-0.006403582145601836
117,1,527.942,-0.012696644868125688
117,1,529.87,-0.002814070140873287
117,1,530.351,-0.010127135784626746
117,1,530.833,-0.0076949063519031816
117,1,531.314,-0.00925710008787726
117,1,531.795,-0.013693253019448428
117,1,533.719,-0.008513863977796056
117,1,536.122,-0.014051071444904075
117,1,537.562,-0.00543949914056332
117,1,538.042,-0.0059671073456602835
117,1,540.44,-0.00769291593988159
117,1,540.919,-0.007457416780182572
117,1,541.398,-0.00785873783246753
117,1,541.877,-0.0068182233875707385
117,1,542.356,-0.010522349057059862
117,1,546.661,-0.00687036139955792
117,1,547.139,-0.007362896281837539
117,1,547.616,-0.009394151661159148
117,1,548.094,-0.0073191093223516504
117,1,550.957,-0.006142522782317402
117,1,552.387,-0.007649900414901783
117,1,552.864,-0.006148663826791192
117,1,553.817,-0.0087218869493803
117,1,554.293,-0.0057990962026647904
117,1,554.769,-0.008051817295079493
117,1,555.245,-0.008335965915216691
117,1,555.721,-0.005638844312379614
117,1,556.672,-0.0038639005688548716
117,1,557.623,-0.0041539244714203895
117,1,558.099,-0.004547262420260344
117,1,559.049,-0.009936760534177805
117,1,559.524,-0.0033746664608843386
117,1,559.999,-0.0015547893741264108
117,1,560.474,-0.008335539332019186
117,1,560.948,-0.0075869821973331844
117,1,561.423,-0.0040094540328140344
117,1,566.163,-0.0017634041049789707
117,1,566.636,-0.005457573287346386
117,1,567.11,-0.005995034100128615
117,1,567.583,-0.006774460229071231
117,1,569.475,-0.00397848498319706
117,1,570.42,0.0003846547756338217
117,1,570.892,-0.0038655820998844343
117,1,571.365,-0.004585620275269458
117,1,571.837,-0.0031116912849618763
117,1,572.309,-0.005630433549032028
117,1,574.668,-0.0012650622457467443
117,1,576.082,-0.004741171301683918
117,1,582.669,-0.004809143728357314
117,1,585.486,-0.0028245678978657414
117,1,586.893,0.0005037755407100795
117,1,594.38,-0.006120363164768437
117,1,595.314,-0.0003503848725494164
117,1,598.58,-0.007034864815921197
117,1,600.444,-0.008234429913677472
117,1,606.954,-0.0039959597178831265
117,1,610.202,0.008089833103581273
117,1,612.518,0.004498662012229573
117,1,612.981,0.009181004117187962
117,1,613.907,0.003042190225925296
117,1,614.369,0.0060798599277498335
117,1,614.832,0.007229396760377438
117,1,615.757,0.007912791793525406
117,1,616.681,0.00016148749644522446
117,1,618.067,0.007973336283258985
117,1,618.529,0.007878192746865294
117,1,618.99,0.006844643843049372
117,1,619.913,0.007113972735345527
117,1,620.375,0.011138792122850728
117,1,620.836,0.015525841152611145
117,1,621.758,0.01578897655690963
117,1,622.68,0.011468698284521581
117,1,623.14,0.011545059695375804
117,1,624.061,0.014991157348120015
117,1,624.522,0.013822715746995303
117,1,624.982,0.019484854689483234
117,1,625.442,0.0195662510483915
117,1,625.902,0.022615878967981003
117,1,626.362,0.016593644222227553
117,1,626.822,0.012095504968248691
117,1,628.201,0.019271040892681668
117,1,629.579,0.012590150586686215
117,1,630.038,0.0228815420961247
117,1,630.497,0.02148621545443801
117,1,630.956,0.016152938636611595
117,1,632.332,0.014919095934788212
117,1,633.249,0.019415069828376433
117,1,634.166,0.012589078458150951
117,1,634.624,0.014189118187857194
117,1,635.082,0.01666800706729136
117,1,635.54,0.02054455593091306
117,1,635.998,0.0059693158391550824
117,1,636.455,0.014130456633559418
117,1,638.285,0.00722528348008779
117,1,639.199,0.009001188916116001
117,1,640.113,0.00767526237621813
117,1,641.483,0.0076695474492202475
117,1,647.409,-0.019075677178696217
117,1,647.864,-0.010043811243654064
117,1,648.774,0.0025108242874582612
117,1,649.229,-0.022169114855355887
117,1,650.593,-0.023165741422987354
117,1,651.047,-0.014979455753693157
117,1,651.956,-0.01569122647586068
117,1,652.41,-0.01302608123740046
117,1,653.318,0.0014318520641921032
117,1,653.772,-0.007552634932657716
117,1,654.679,-0.00399377263903464
117,1,655.133,-0.008636196069358601
117,1,655.586,-0.006090489437753253
117,1,656.039,-0.006958138121950747
117,1,656.492,-0.007808514557187538
117,1,656.946,-0.009273556559691894
117,1,657.399,0.01137280667936558
117,1,657.851,0.013373752167748347
117,1,658.304,-0.0012522031311708122
117,1,658.757,0.014561225234200672
117,1,659.209,0.0007646609880689325
117,1,659.662,0.009112217940402022
117,1,660.114,0.010620806566651894
117,1,660.567,0.018425626069955018
117,1,661.019,0.004822584504797649
117,1,661.471,0.010320032400149191
117,1,661.923,0.0050186834312633205
117,1,662.375,0.014374462499805283
117,1,662.826,0.010921873209519373
117,1,663.278,0.004062950943564537
117,1,663.73,0.003923692241702698
117,1,664.181,0.00870431655648682
117,1,664.632,0.008797821331976657
117,1,665.084,0.016678324499735706
117,1,665.535,0.010319221912010231
117,1,666.437,0.005142338297809996
117,1,667.789,0.008353651060885833
117,1,668.24,0.004817557322840908
117,1,668.69,0.0049745234520600055
117,1,670.041,0.007383727853080171
117,1,672.29,-0.0008634267604494207
117,1,673.638,0.0024481818008219203
117,1,675.883,0.0016137139194404581
117,1,676.332,0.002512419069020651
117,1,677.678,0.001362858256940477
117,1,678.574,0.0034883081555386517
117,1,679.022,0.0059100345088099505
117,1,679.918,0.005149871580753468
117,1,680.366,0.004901396383196193
117,1,680.814,0.004092311569614281
117,1,681.261,0.006194172425737569
117,1,682.156,0.008017588577885666
117,1,682.604,0.01300987196325695
117,1,683.051,0.00822218425724776
117,1,683.945,0.007755265924847334
117,1,684.839,0.0274920646860683
117,1,685.286,0.024893189000556988
117,1,685.732,0.013097401252635116
117,1,686.179,0.03490626177595885
117,1,686.625,0.029790921800081496
117,1,687.071,0.03174512083922536
117,1,687.518,0.049103632029241666
117,1,687.964,0.042060546533407725
117,1,688.41,0.04522727423678379
117,1,688.856,0.0408672266782551
117,1,689.301,0.04748410682217453
117,1,689.747,0.03053092861134869
117,1,690.193,0.03753843436704216
117,1,690.638,0.026521122382206087
117,1,691.084,0.023994664905354117
117,1,691.529,0.02793136867142836
117,1,691.974,0.02943140890400822
117,1,692.419,0.0250440439812771
117,1,692.864,0.028709427448707674
117,1,693.309,0.018118792572516293
117,1,695.088,0.014853239558818496
117,1,695.532,0.013041756929321711
117,1,696.865,0.009693056044682553
117,1,698.197,0.009990370712455692
117,1,700.857,0.00662910649289923
117,1,702.186,0.0044590731887826736
117,1,702.629,0.005692507218831337
117,1,712.787,-0.007482658060479338
117,1,714.108,-0.00255163522969257
117,1,714.548,-0.004853158916894927
117,1,714.988,-0.0047168545254050185
117,1,717.186,-0.008234265976318437
117,1,717.626,-0.004423784940260507
117,1,718.504,-0.008236187720508551
117,1,718.944,-0.004019197718447642
117,1,719.822,-0.008155042116535496
117,1,720.261,-0.011072087551103603
117,1,720.699,-0.00975585805772121
117,1,721.138,-0.02758718278090778
117,1,721.576,-0.0032194260008312904
117,1,722.015,-0.011641847786690095
117,1,722.892,-0.017273069052603143
117,1,723.33,-0.004553634217214043
117,1,724.206,-0.006995268073023448
117,1,724.644,-0.013850178167931196
117,1,725.081,-0.007874261003351238
117,1,725.519,-0.018910604260165786
117,1,725.957,-0.019977492433620896
117,1,726.394,-0.01046612415077549
117,1,726.832,-0.015597723331006367
117,1,727.269,-0.01975666834829691
117,1,727.706,-0.03463787839837345
117,1,728.143,-0.03129147584490685
117,1,728.58,-0.024548907155133998
117,1,729.017,-0.04427804264780403
117,1,729.454,-0.02931858636543071
117,1,729.89,-0.0015178831263090496
117,1,730.327,-0.03381836776841588
117,1,730.764,-0.0022720782574852405
117,1,731.2,-0.048296722614724064
117,1,731.636,-0.032530717206510615
117,1,732.072,0.003494104004015262
117,1,732.945,-0.029389865760970822
117,1,733.38,-0.05547900133754557
117,1,734.252,-0.027315784294441016
117,1,734.688,-0.02301207665191078
117,1,735.123,-0.04149494425574082
117,1,736.429,-0.013074330582632404
117,1,736.864,0.006613245020514443
117,1,737.299,-0.039575746987630084
117,1,737.734,0.04561745330693236
117,1,738.169,-0.04756643944368895
117,1,738.604,-0.018282522001751136
117,1,739.038,-0.04985247372508183
117,1,739.473,-0.025840491873518015
117,1,739.907,-0.05626410023144959
117,1,740.342,-0.049734528651102755
117,1,740.776,-0.0026913842809931617
117,1,741.21,-0.015204817765281445
117,1,742.512,-0.03708172613191144
117,1,743.379,-0.023283905807367604
117,1,743.813,-0.05095797726214624
117,1,744.246,-0.07434809563099355
117,1,744.68,-0.026745965693277123
117,1,745.113,-0.075248163475645
117,1,745.979,-0.005435635505987827
117,1,746.412,-0.052859375705244696
117,1,747.711,-0.06993557698105166
117,1,748.143,-0.033986671524150566
117,1,748.576,-0.005737161212789978
117,1,749.441,-0.05246816596647126
117,1,749.873,-0.046324669934335004
117,1,750.305,0.01792290483973546
117,1,751.169,-0.08362709444582507
117,1,752.032,-0.02878444472973687
117,1,752.464,-0.07178650886949703
117,1,752.896,-0.08972261185911733
117,1,753.327,-0.03277236727652068
117,1,753.758,-0.05698125315904688
117,1,754.19,-0.017006252605638913
117,1,754.621,-0.06442285526914227
117,1,755.052,-0.05324307822521375
117,1,755.483,0.00698099457121841
117,1,758.927,0.054131116445998745
117,1,760.217,-0.015951951550545938
117,1,761.076,-0.059605669449897
117,1,761.506,-0.039539484962332165
117,1,761.935,-0.011582706868384692
117,1,762.365,0.015344689157240278
117,1,762.794,-0.03051525368917003
117,1,763.223,0.04784659719452837
117,1,764.082,-0.041945189599422894
117,1,764.939,-0.015071321788163854
117,1,765.368,0.004490636138533239
117,1,765.797,-0.00734030595889118
117,1,766.225,0.01838513341493009
117,1,766.654,-0.030644933262600836
117,1,767.082,-0.028653339356356188
117,1,767.938,-0.03724310387205219
117,1,768.367,-0.0418838689531665
117,1,768.795,-0.055694899540744115
117,1,769.65,0.02640276375427715
117,1,770.078,-0.026956731843429626
117,1,771.36,0.03838967177742136
117,1,773.496,-0.03783931528704565
117,1,773.923,-0.019099231397391985
117,1,774.776,-0.036314843723268035
117,1,775.203,-0.03937593540414902
117,1,775.629,0.005263416716386466
117,1,776.482,-0.03063157823206119
117,1,776.908,-0.038519692326803495
