Run,Iteration,Ratio,Selected Variables,Selected Wavelengths,Accuracy,N components,RMSECV
310,1,1.0,555,555 wavelengths,0.8918918918918919,3.0,True
310,2,0.937972055474286,391,391 wavelengths,0.8783783783783784,3.0,True
310,3,0.879791576850657,309,309 wavelengths,0.8783783783783784,3.0,True
310,4,0.825219913727574,267,267 wavelengths,0.8783783783783784,3.0,True
310,5,0.7740332186973654,241,241 wavelengths,0.8783783783783784,3.0,True
310,6,0.7260215291469454,223,223 wavelengths,0.8783783783783784,3.0,True
310,7,0.6809879060125446,203,203 wavelengths,0.8783783783783784,3.0,True
310,8,0.6387476259557163,194,194 wavelengths,0.8783783783783784,3.0,True
310,9,0.5991274236470037,178,178 wavelengths,0.8783783783783784,3.0,True
310,10,0.5619647810491933,161,161 wavelengths,0.8783783783783784,3.0,True
310,11,0.5271072607848689,152,152 wavelengths,0.8783783783783784,3.0,True
310,12,0.49441188085380394,136,136 wavelengths,0.8783783783783784,3.0,True
310,13,0.4637445281353502,131,131 wavelengths,0.8783783783783784,3.0,True
310,14,0.4349794082700673,122,122 wavelengths,0.9459459459459459,3.0,True
310,15,0.4079985296640637,112,112 wavelengths,0.8648648648648649,3.0,True
310,16,0.38269121949948826,108,108 wavelengths,0.8648648648648649,3.0,True
310,17,0.35895366976589616,102,102 wavelengths,0.9459459459459459,3.0,True
310,18,0.33668851145035567,96,96 wavelengths,0.9459459459459459,3.0,True
310,19,0.3158044151396677,92,92 wavelengths,0.9594594594594594,3.0,True
310,20,0.2962157163964089,85,85 wavelengths,0.9594594594594594,3.0,True
310,21,0.2778420643721278,79,79 wavelengths,0.9594594594594594,3.0,True
310,22,0.2606080922163436,73,73 wavelengths,0.9594594594594594,3.0,True
310,23,0.24444310792939605,71,71 wavelengths,0.9594594594594594,3.0,True
310,24,0.22928080439105833,68,68 wavelengths,0.972972972972973,3.0,True
310,25,0.2150589873754787,67,67 wavelengths,0.972972972972973,3.0,True
310,26,0.20171932043679625,63,63 wavelengths,0.972972972972973,3.0,True
310,27,0.18920708561897795,61,61 wavelengths,0.972972972972973,3.0,True
310,28,0.17747095900833193,56,56 wavelengths,0.972972972972973,3.0,True
310,29,0.1664628002080379,51,51 wavelengths,0.972972972972973,3.0,True
310,30,0.15613745487113867,47,47 wavelengths,0.972972972972973,3.0,True
310,31,0.14645256948200552,42,42 wavelengths,0.9594594594594594,3.0,True
310,32,0.13736841762652738,39,39 wavelengths,0.9594594594594594,3.0,True
310,33,0.12884773703840405,39,39 wavelengths,0.9594594594594594,3.0,True
310,34,0.12085557675312208,35,35 wavelengths,0.9594594594594594,3.0,True
310,35,0.11335915374265627,31,31 wavelengths,0.918918918918919,3.0,True
310,36,0.10632771844282492,29,29 wavelengths,0.9594594594594594,3.0,True
310,37,0.09973242862170764,29,29 wavelengths,0.9594594594594594,3.0,True
310,38,0.09354623107174559,27,27 wavelengths,0.9594594594594594,3.0,True
310,39,0.08774375064023773,26,26 wavelengths,0.9594594594594594,3.0,True
310,40,0.082301186143047,24,24 wavelengths,0.9594594594594594,3.0,True
310,41,0.07719621273456559,22,22 wavelengths,0.9594594594594594,3.0,True
310,42,0.07240789033347075,21,21 wavelengths,0.9459459459459459,3.0,True
310,43,0.06791657772864225,19,19 wavelengths,0.9324324324324325,3.0,True
310,44,0.06370385201291369,17,17 wavelengths,0.9324324324324325,3.0,True
310,45,0.059752433014182364,16,16 wavelengths,0.918918918918919,3.0,True
310,46,0.05604611241390222,14,14 wavelengths,0.9324324324324325,3.0,True
310,47,0.05256968726221077,14,14 wavelengths,0.9324324324324325,3.0,True
310,48,0.04930889761697621,14,14 wavelengths,0.9324324324324325,3.0,True
310,49,0.0462503680509663,14,14 wavelengths,0.9324324324324325,3.0,True
310,50,0.043381552787207116,13,13 wavelengths,0.9324324324324325,3.0,True
310,51,0.0406906842374829,13,13 wavelengths,0.9324324324324325,3.0,True
310,52,0.03816672473288696,13,13 wavelengths,0.9324324324324325,3.0,True
310,53,0.03579932124842725,11,11 wavelengths,0.9054054054054054,3.0,True
310,54,0.03357876293597159,11,11 wavelengths,0.9054054054054054,3.0,True
310,55,0.031495941291337044,11,11 wavelengths,0.9054054054054054,3.0,True
310,56,0.029542312792132836,10,494.419 - 499.31 - 500.775 - 504.19 - 689.301 - 737.734 - 752.896 - 758.927 - 941.537 - 949.698,0.918918918918919,3.0,True
310,57,0.027709863853101133,10,494.419 - 499.31 - 500.775 - 504.19 - 689.301 - 737.734 - 752.896 - 758.927 - 941.537 - 949.698,0.918918918918919,3.0,True
